id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
321788,CYB3,heliport,Nelson/Baylock Estate Heliport,49.54472222,-117.2605555,1830,NA,CA,CA-BC,,no,,,CYB3,CYB3,,,
1667,CYBA,small_airport,Banff Airport,51.208222,-115.540624,4583,NA,CA,CA-AB,Banff,no,CYBA,YBA,CYBA,,,https://en.wikipedia.org/wiki/Banff_Airport,YBA
1668,CYBB,small_airport,Kugaaruk Airport,68.535711,-89.805508,56,NA,CA,CA-NU,Kugaaruk,yes,CYBB,YBB,CYBB,,,https://en.wikipedia.org/wiki/Kugaaruk_Airport,"YBB, Pelly Bay Townsite Airport"
1669,CYBC,medium_airport,Baie-Comeau Airport,49.1325,-68.204399,71,NA,CA,CA-QC,Baie-Comeau,yes,CYBC,YBC,CYBC,YBC,,https://en.wikipedia.org/wiki/Baie-Comeau_Airport,
1670,CYBD,medium_airport,Bella Coola Airport,52.387501,-126.596001,117,NA,CA,CA-BC,Bella Coola,yes,CYBD,QBC,CYBD,,,https://en.wikipedia.org/wiki/Bella_Coola_Airport,YBD
1671,CYBE,small_airport,Uranium City Airport,59.561401,-108.481003,1044,NA,CA,CA-SK,Uranium City,yes,CYBE,YBE,CYBE,,,https://en.wikipedia.org/wiki/Uranium_City_Airport,
1672,CYBF,medium_airport,Bonnyville Airport,54.304199,-110.744003,1836,NA,CA,CA-AB,Bonnyville,yes,CYBF,YBY,CYBF,,http://town.bonnyville.ab.ca/livingin/airport/index.html,https://en.wikipedia.org/wiki/Bonnyville_Airport,YBF
1673,CYBG,medium_airport,Saguenay-Bagotville Airport,48.330123,-70.992012,522,NA,CA,CA-QC,Saguenay,yes,CYBG,YBG,CYBG,,,https://en.wikipedia.org/wiki/CFB_Bagotville,Bagotville Airport
1674,CYBK,medium_airport,Baker Lake Airport,64.29889678960001,-96.077796936,59,NA,CA,CA-NU,Baker Lake,yes,CYBK,YBK,CYBK,,,https://en.wikipedia.org/wiki/Baker_Lake_Airport,
1675,CYBL,medium_airport,Campbell River Airport,49.950802,-125.271004,346,NA,CA,CA-BC,Campbell River,yes,CYBL,YBL,CYBL,YBL,,https://en.wikipedia.org/wiki/Campbell_River_Airport,
1676,CYBN,heliport,CFB Borden Heliport,44.271702,-79.912498,729,NA,CA,CA-ON,Borden,no,,,CYBN,,,https://en.wikipedia.org/wiki/CFB_Borden,"YBN, Camp Borden"
1629,CYBP,small_airport,Brooks Regional Airport,50.633598,-111.926003,2490,NA,CA,CA-AB,Brooks,no,,,CYBP,CYBP,,https://en.wikipedia.org/wiki/Brooks_Regional_Aerodrome,YBP
1677,CYBQ,small_airport,Tadoule Lake Airport,58.706308,-98.511057,923,NA,CA,CA-MB,Tadoule Lake,yes,CYBQ,XTL,CYBQ,,,https://en.wikipedia.org/wiki/Tadoule_Lake_Airport,YBQ
1678,CYBR,medium_airport,Brandon Municipal Airport,49.91,-99.951897,1343,NA,CA,CA-MB,Brandon,yes,CYBR,YBR,CYBR,,,https://en.wikipedia.org/wiki/Brandon_Airport,
1679,CYBT,small_airport,Brochet Airport,57.8894,-101.679001,1136,NA,CA,CA-MB,Brochet,yes,CYBT,YBT,CYBT,,,https://en.wikipedia.org/wiki/Brochet_Airport,
1680,CYBU,medium_airport,Nipawin Airport,53.33250045776367,-104.00800323486328,1220,NA,CA,CA-SK,Nipawin,no,,,CYBU,,,https://en.wikipedia.org/wiki/Nipawin_Airport,YBU
1681,CYBV,small_airport,Berens River Airport,52.358898,-97.018303,728,NA,CA,CA-MB,Berens River,yes,CYBV,YBV,CYBV,,,https://en.wikipedia.org/wiki/Berens_River_Airport,
1682,CYBW,medium_airport,Calgary / Springbank Airport,51.103982,-114.369378,3940,NA,CA,CA-AB,Calgary,no,,,CYBW,,http://www.ybw.ca/,https://en.wikipedia.org/wiki/Calgary/Springbank_Airport,YBW
1683,CYBX,medium_airport,Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,121,NA,CA,CA-QC,Blanc-Sablon,yes,CYBX,YBX,CYBX,,,https://en.wikipedia.org/wiki/Lourdes-de-Blanc-Sablon_Airport,
1684,CYCA,small_airport,Cartwright Airport,53.682501,-57.042303,40,NA,CA,CA-NL,Cartwright,yes,CYCA,YRF,CYCA,,,https://en.wikipedia.org/wiki/Cartwright_Airport,YCA
1685,CYCB,medium_airport,Cambridge Bay Airport,69.1081008911,-105.138000488,90,NA,CA,CA-NU,Cambridge Bay,yes,CYCB,YCB,CYCB,,,https://en.wikipedia.org/wiki/Cambridge_Bay_Airport,
1686,CYCC,medium_airport,Cornwall Regional Airport,45.092637,-74.567724,175,NA,CA,CA-ON,Cornwall,no,CYCC,YCC,CYCC,,,https://en.wikipedia.org/wiki/Cornwall_Regional_Airport,
1687,CYCD,medium_airport,Nanaimo Airport,49.05497,-123.869863,92,NA,CA,CA-BC,Nanaimo,yes,CYCD,YCD,CYCD,,https://www.ycd.ca/,https://en.wikipedia.org/wiki/Nanaimo_Airport,
1688,CYCE,medium_airport,Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,824,NA,CA,CA-ON,Huron Park,no,CYCE,YCE,CYCE,CYCE,,https://en.wikipedia.org/wiki/Centralia/Huron_Airpark,"RCAF Station Centralia, Huron Airpark"
1689,CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,1624,NA,CA,CA-BC,Castlegar,yes,CYCG,YCG,CYCG,,https://www.wkrairport.ca/,https://en.wikipedia.org/wiki/Castlegar_Airport,
1690,CYCH,medium_airport,Miramichi Airport,47.007801,-65.449203,108,NA,CA,CA-NB,Miramichi,no,CYCH,YCH,CYCH,,,https://en.wikipedia.org/wiki/Miramichi_Airport,"CFB Chatham, RCAF Station Chatham"
1364,CYCK,small_airport,Chatham Kent Airport,42.3064002991,-82.0819015503,650,NA,CA,CA-ON,Chatham-Kent,no,CYCK,XCM,CYCK,NZ3,,https://en.wikipedia.org/wiki/Chatham-Kent_Airport,CNZ3
1691,CYCL,medium_airport,Charlo Airport,47.990799,-66.330299,132,NA,CA,CA-NB,Charlo,yes,CYCL,YCL,CYCL,,,https://en.wikipedia.org/wiki/Charlo_Airport,
1692,CYCN,medium_airport,Cochrane Airport,49.10559844970703,-81.01360321044922,861,NA,CA,CA-ON,Cochrane,no,CYCN,YCN,CYCN,,,https://en.wikipedia.org/wiki/Cochrane_Airport,
1693,CYCO,small_airport,Kugluktuk Airport,67.816408,-115.14307,74,NA,CA,CA-NU,Kugluktuk,yes,CYCO,YCO,CYCO,,,https://en.wikipedia.org/wiki/Kugluktuk_Airport,Copper Mine Airport
1694,CYCP,medium_airport,Blue River Airport,52.11669921875,-119.28299713134766,2240,NA,CA,CA-BC,Blue River,no,,,CYCP,,,https://en.wikipedia.org/wiki/Blue_River_Airport,YCP
1695,CYCQ,medium_airport,Chetwynd Airport,55.687198638916016,-121.62699890136719,2000,NA,CA,CA-BC,Chetwynd,no,CYCQ,YCQ,CYCQ,,,https://en.wikipedia.org/wiki/Chetwynd_Airport,
1696,CYCR,small_airport,Cross Lake (Charlie Sinclair Memorial) Airport,54.609758,-97.762442,709,NA,CA,CA-MB,Cross Lake,yes,CYCR,YCR,CYCR,,,https://en.wikipedia.org/wiki/Cross_Lake_(Charlie_Sinclair_Memorial)_Airport,
1697,CYCS,small_airport,Chesterfield Inlet Airport,63.346901,-90.731102,32,NA,CA,CA-NU,Chesterfield Inlet,yes,CYCS,YCS,CYCS,,,https://en.wikipedia.org/wiki/Chesterfield_Inlet_Airport,
1698,CYCT,small_airport,Coronation Airport,52.0750007629,-111.444999695,2595,NA,CA,CA-AB,Coronation,no,CYCT,YCT,CYCT,,,https://en.wikipedia.org/wiki/Coronation_Airport,YCT
1699,CYCW,small_airport,Chilliwack Airport,49.153157,-121.939309,32,NA,CA,CA-BC,Chilliwack,no,CYCW,YCW,CYCW,,,https://en.wikipedia.org/wiki/Chilliwack_Airport,YCW
1700,CYCX,heliport,CFB Gagetown Heliport,45.837766,-66.436729,166,NA,CA,CA-NB,Oromocto,no,,,CYCX,,,https://en.wikipedia.org/wiki/CFB_Gagetown,YCX
1701,CYCY,small_airport,Clyde River Airport,70.486099,-68.516701,87,NA,CA,CA-NU,Clyde River,yes,CYCY,YCY,CYCY,,,https://en.wikipedia.org/wiki/Clyde_River_Airport,
1702,CYCZ,small_airport,Fairmont Hot Springs Airport,50.331052,-115.873739,2661,NA,CA,CA-BC,Fairmont Hot Springs,no,CYCZ,YCZ,CYCZ,,,https://en.wikipedia.org/wiki/Fairmont_Hot_Springs_Airport,YCZ
353838,CYD2,seaplane_base,Yellow Dog Lodge Seaplane Base,62.890556,-113.867778,725,NA,CA,CA-NT,Graham Lake,no,,,CYD2,CYD2,https://yellowdoglodge.ca/,https://en.wikipedia.org/wiki/Graham_Lake_(Yellow_Dog_Lodge)_Water_Aerodrome,
1703,CYDA,medium_airport,Dawson City Airport,64.04309844970703,-139.1280059814453,1215,NA,CA,CA-YT,Dawson City,yes,CYDA,YDA,CYDA,,,https://en.wikipedia.org/wiki/Dawson_City_Airport,
1704,CYDB,medium_airport,Burwash Airport,61.371101,-139.041,2647,NA,CA,CA-YT,Burwash Landing,no,CYDB,YDB,CYDB,,,https://en.wikipedia.org/wiki/Burwash_Airport,
1705,CYDC,small_airport,Princeton Airport,49.468102,-120.511002,2298,NA,CA,CA-BC,Town of Princeton,no,,,CYDC,,http://princetonairport.ca,https://en.wikipedia.org/wiki/Princeton_Airport_(British_Columbia),YDC
1706,CYDF,medium_airport,Deer Lake Airport,49.208159,-57.396147,72,NA,CA,CA-NL,Deer Lake,yes,CYDF,YDF,CYDF,,https://deerlakeairport.com/,https://en.wikipedia.org/wiki/Deer_Lake_Airport_(Newfoundland),
1707,CYDH,heliport,Ottawa / Dwyer Hill Heliport,45.1305999756,-75.9483032227,325,NA,CA,CA-ON,Ottawa,no,,,CYDH,CYDH,,,YDH
1708,CYDL,small_airport,Dease Lake Airport,58.422199,-130.031998,2600,NA,CA,CA-BC,Dease Lake,yes,CYDL,YDL,CYDL,,,https://en.wikipedia.org/wiki/Dease_Lake_Airport,YDL
1709,CYDM,medium_airport,Ross River Airport,61.9706001282,-132.42300415,2314,NA,CA,CA-YT,Ross River,no,CYDM,XRR,CYDM,YDM,,https://en.wikipedia.org/wiki/Ross_River_Airport,
1710,CYDN,medium_airport,Dauphin Barker Airport,51.1008,-100.052002,999,NA,CA,CA-MB,Dauphin,yes,CYDN,YDN,CYDN,,,https://en.wikipedia.org/wiki/Dauphin_(Lt._Col_W.G._(Billy)_Barker_VC_Airport),
1711,CYDO,medium_airport,Dolbeau-Saint-Felicien Airport,48.7785,-72.375,372,NA,CA,CA-QC,Dolbeau-Saint-Felicien,no,CYDO,YDO,CYDO,,,https://en.wikipedia.org/wiki/Dolbeau-St-F%C3%A9licien_Airport,Dolbeau St Methode
1712,CYDP,small_airport,Nain Airport,56.550778,-61.682224,22,NA,CA,CA-NL,Nain,yes,CYDP,YDP,CYDP,,,https://en.wikipedia.org/wiki/Nain_Airport,
1713,CYDQ,medium_airport,Dawson Creek Airport,55.741245,-120.183263,2148,NA,CA,CA-BC,Dawson Creek,no,CYDQ,YDQ,CYDQ,,,https://en.wikipedia.org/wiki/Dawson_Creek_Airport,
1714,CYEA,small_airport,Empress Airport,50.93330001831055,-110.01300048828125,2211,NA,CA,CA-AB,Empress,no,,,CYEA,,,https://en.wikipedia.org/wiki/Empress_Airport,YEA
1715,CYED,heliport,Edmonton (CFB Namao) Heliport,53.667934,-113.472548,2257,NA,CA,CA-AB,Edmonton,no,,,CYED,CYED,,https://en.wikipedia.org/wiki/CFB_Edmonton,"YED, CFB Edmonton, Namao Airport"
1716,CYEE,medium_airport,Huronia Airport,44.6833000183,-79.9282989502,770,NA,CA,CA-ON,Midland,no,,,CYEE,YEE,,https://en.wikipedia.org/wiki/Midland/Huronia_Airport,
1717,CYEG,large_airport,Edmonton International Airport,53.3097,-113.580002,2373,NA,CA,CA-AB,Edmonton,yes,CYEG,YEG,CYEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,
1718,CYEK,small_airport,Arviat Airport,61.0942,-94.070801,32,NA,CA,CA-NU,Arviat,yes,CYEK,YEK,CYEK,,,https://en.wikipedia.org/wiki/Arviat_Airport,
1719,CYEL,medium_airport,Elliot Lake Municipal Airport,46.351398468,-82.5614013672,1087,NA,CA,CA-ON,Elliot Lake,no,CYEL,YEL,CYEL,,http://cyelont.tripod.com/cyel/,https://en.wikipedia.org/wiki/Elliot_Lake_Municipal_Airport,
1720,CYEM,medium_airport,Manitoulin East Municipal Airport,45.842435,-81.857595,869,NA,CA,CA-ON,Sheguiandah,no,CYEM,YEM,CYEM,,,https://en.wikipedia.org/wiki/Manitowaning/Manitoulin_East_Municipal_Airport,
1721,CYEN,medium_airport,Estevan Airport,49.2103004456,-102.966003418,1905,NA,CA,CA-SK,Estevan,no,CYEN,YEN,CYEN,,,https://en.wikipedia.org/wiki/Estevan_Regional_Aerodrome,YEN
1722,CYER,small_airport,Fort Severn Airport,56.018902,-87.676102,48,NA,CA,CA-ON,Fort Severn,yes,CYER,YER,CYER,,,https://en.wikipedia.org/wiki/Fort_Severn_Airport,
1723,CYES,small_airport,Edmundston Airport,47.487208,-68.477732,490,NA,CA,CA-NB,Edmundston,no,,,CYES,,,https://en.wikipedia.org/wiki/Edmundston_Airport,YES
1724,CYET,medium_airport,Edson Airport,53.578899383499994,-116.464996338,3043,NA,CA,CA-AB,Edson,no,CYET,YET,CYET,,,https://en.wikipedia.org/wiki/Edson_Airport,
1725,CYEU,small_airport,Eureka Airport,79.9946975708,-85.814201355,256,NA,CA,CA-NU,Eureka,no,CYEU,YEU,CYEU,,,https://en.wikipedia.org/wiki/Eureka_Aerodrome,YEU
1726,CYEV,medium_airport,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,224,NA,CA,CA-NT,Inuvik,yes,CYEV,YEV,CYEV,,,https://en.wikipedia.org/wiki/Inuvik_(Mike_Zubko)_Airport,
1727,CYEY,medium_airport,Amos/Magny Airport,48.563903,-78.249702,1068,NA,CA,CA-QC,Amos,no,CYEY,YEY,CYEY,,,https://en.wikipedia.org/wiki/Amos/Magny_Airport,
1728,CYFA,small_airport,Fort Albany Airport,52.203451,-81.695194,48,NA,CA,CA-ON,Fort Albany,yes,CYFA,YFA,CYFA,,,https://en.wikipedia.org/wiki/Fort_Albany_Airport,
1729,CYFB,medium_airport,Iqaluit Airport,63.756402,-68.555801,110,NA,CA,CA-NU,Iqaluit,yes,CYFB,YFB,CYFB,,,https://en.wikipedia.org/wiki/Iqaluit_Airport,Frobisher Bay Air Base
1730,CYFC,medium_airport,Fredericton International Airport,45.868697,-66.529891,68,NA,CA,CA-NB,Fredericton,yes,CYFC,YFC,CYFC,,,https://en.wikipedia.org/wiki/Greater_Fredericton_Airport,
1731,CYFD,medium_airport,Brantford Municipal Airport,43.131401,-80.342499,815,NA,CA,CA-ON,Brantford,no,,,CYFD,,http://www.brantfordairport.ca,https://en.wikipedia.org/wiki/Brantford_Airport,YFD
1732,CYFE,medium_airport,Forestville Airport,48.74610137939453,-69.09719848632812,293,NA,CA,CA-QC,Forestville,no,CYFE,YFE,CYFE,,,https://en.wikipedia.org/wiki/Forestville_Airport,
1733,CYFH,small_airport,Fort Hope Airport,51.561901,-87.907799,899,NA,CA,CA-ON,Fort Hope,yes,CYFH,YFH,CYFH,,,https://en.wikipedia.org/wiki/Fort_Hope_Airport,
1734,CYFJ,medium_airport,Mont-Tremblant International Airport,46.409401,-74.779999,827,NA,CA,CA-QC,La Macaza,no,CYFJ,YTM,CYFJ,,http://www.mtia.ca/,https://en.wikipedia.org/wiki/Rivi%C3%A8re_Rouge/Mont-Tremblant_International_Inc_Airport,YFJ
1735,CYFO,small_airport,Flin Flon Airport,54.678101,-101.681999,997,NA,CA,CA-MB,Flin Flon,yes,CYFO,YFO,CYFO,,,https://en.wikipedia.org/wiki/Flin_Flon_Airport,
1736,CYFR,medium_airport,Fort Resolution Airport,61.1808013916,-113.690002441,526,NA,CA,CA-NT,Fort Resolution,no,CYFR,YFR,CYFR,,,https://en.wikipedia.org/wiki/Fort_Resolution_Airport,YFR
1737,CYFS,medium_airport,Fort Simpson Airport,61.76020050048828,-121.23699951171875,555,NA,CA,CA-NT,Fort Simpson,yes,CYFS,YFS,CYFS,,,https://en.wikipedia.org/wiki/Fort_Simpson_Airport,
1738,CYFT,small_airport,Makkovik Airport,55.077335,-59.187942,234,NA,CA,CA-NL,Makkovik,yes,CYFT,YMN,CYFT,,,https://en.wikipedia.org/wiki/Makkovik_Airport,YFT
353841,CYG2,small_airport,Yellow Gold Airport,43.159989,-81.703091,642,NA,CA,CA-ON,Parkhill,no,,,CYG2,CYG2,,https://en.wikipedia.org/wiki/Parkhill_(Yellow_Gold)_Aerodrome,
1739,CYGB,small_airport,Texada Gillies Bay Airport,49.694341,-124.518099,326,NA,CA,CA-BC,Texada,no,CYGB,YGB,CYGB,,,https://en.wikipedia.org/wiki/Texada/Gillies_Bay_Airport,
1740,CYGD,medium_airport,Goderich Airport,43.7668991089,-81.7106018066,712,NA,CA,CA-ON,Goderich,no,,,CYGD,YGD,http://www.goderich.ca/en/townhall/airport.asp,https://en.wikipedia.org/wiki/Goderich_Airport,
1741,CYGE,medium_airport,Golden Airport,51.299196,-116.982002,2575,NA,CA,CA-BC,Golden,no,,,CYGE,,,https://en.wikipedia.org/wiki/Golden_Airport,AL4
1742,CYGH,small_airport,Fort Good Hope Airport,66.240658,-128.647757,268,NA,CA,CA-NT,Fort Good Hope,yes,CYGH,YGH,CYGH,,,https://en.wikipedia.org/wiki/Fort_Good_Hope_Airport,
1743,CYGK,medium_airport,Kingston Norman Rogers Airport,44.2253,-76.596901,305,NA,CA,CA-ON,Kingston,no,CYGK,YGK,CYGK,,http://www.ygkairport.com,https://en.wikipedia.org/wiki/Kingston/Norman_Rogers_Airport,
1744,CYGL,medium_airport,La Grande Rivière Airport,53.625301361083984,-77.7042007446289,639,NA,CA,CA-QC,La Grande Rivière,yes,CYGL,YGL,CYGL,,,https://en.wikipedia.org/wiki/La_Grande_Rivi%C3%A8re_Airport,
1745,CYGM,medium_airport,Gimli Industrial Park Airport,50.62810134887695,-97.04329681396484,753,NA,CA,CA-MB,Gimli,no,CYGM,YGM,CYGM,,,https://en.wikipedia.org/wiki/Gimli_Industrial_Park_Airport,
1746,CYGO,small_airport,Gods Lake Narrows Airport,54.55768,-94.490061,617,NA,CA,CA-MB,Gods Lake Narrows,yes,CYGO,YGO,CYGO,,,https://en.wikipedia.org/wiki/Gods_Lake_Narrows_Airport,
1747,CYGP,medium_airport,Michel-Pouliot Gaspé Airport,48.774915,-64.481893,112,NA,CA,CA-QC,Gaspé,yes,CYGP,YGP,CYGP,,,https://en.wikipedia.org/wiki/Gasp%C3%A9_Airport,
1748,CYGQ,medium_airport,Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828,1144,NA,CA,CA-ON,Geraldton,no,CYGQ,YGQ,CYGQ,,,https://en.wikipedia.org/wiki/Geraldton_(Greenstone_Regional)_Airport,
1749,CYGR,medium_airport,Îles-de-la-Madeleine Airport,47.425242,-61.778612,35,NA,CA,CA-QC,Les Îles-de-la-Madeleine,yes,CYGR,YGR,CYGR,,,https://en.wikipedia.org/wiki/%C3%8Eles-de-la-Madeleine_Airport,
1750,CYGT,small_airport,Igloolik Airport,69.3647,-81.816101,174,NA,CA,CA-NU,Igloolik,yes,CYGT,YGT,CYGT,,,https://en.wikipedia.org/wiki/Igloolik_Airport,
1751,CYGV,medium_airport,Havre-Saint-Pierre Airport,50.281898,-63.611401,124,NA,CA,CA-QC,Havre-Saint-Pierre,yes,CYGV,YGV,CYGV,,,https://en.wikipedia.org/wiki/Havre_St-Pierre_Airport,
1752,CYGW,medium_airport,Kuujjuarapik Airport,55.281898498535156,-77.76529693603516,34,NA,CA,CA-QC,Kuujjuarapik,yes,CYGW,YGW,CYGW,,,https://en.wikipedia.org/wiki/Kuujjuarapik_Airport,
1753,CYGX,small_airport,Gillam Airport,56.35712,-94.711504,476,NA,CA,CA-MB,Gillam,yes,CYGX,YGX,CYGX,,,https://en.wikipedia.org/wiki/Gillam_Airport,
1754,CYGZ,small_airport,Grise Fiord Airport,76.425823,-82.908583,146,NA,CA,CA-NU,Grise Fiord,yes,CYGZ,YGZ,CYGZ,,,https://en.wikipedia.org/wiki/Grise_Fiord_Airport,
1755,CYHA,small_airport,Quaqtaq Airport,61.046398,-69.617798,103,NA,CA,CA-QC,Quaqtaq,yes,CYHA,YQC,CYHA,,,https://en.wikipedia.org/wiki/Quaqtaq_Airport,YHA
1756,CYHB,small_airport,Hudson Bay Airport,52.8166999817,-102.310997009,1175,NA,CA,CA-SK,Hudson Bay,no,CYHB,YHB,CYHB,,,https://en.wikipedia.org/wiki/Hudson_Bay_Airport,YHB
28453,CYHC,seaplane_base,Vancouver Harbour Water Aerodrome,49.290739,-123.118541,,NA,CA,CA-BC,Vancouver,yes,CYHC,CXH,CYHC,,https://harbourair.com/locations/vancouver-harbour/,https://en.wikipedia.org/wiki/Vancouver_Harbour_Water_Aerodrome,"YHC, Vancouver Coal Harbour Seaplane Base"
1757,CYHD,medium_airport,Dryden Regional Airport,49.831699,-92.744202,1354,NA,CA,CA-ON,Dryden,no,CYHD,YHD,CYHD,,,https://en.wikipedia.org/wiki/Dryden_Regional_Airport,
1758,CYHE,small_airport,Hope Airport / FVRD Regional Airpark,49.368865,-121.49495,128,NA,CA,CA-BC,Hope,no,CYHE,YHE,CYHE,,,https://en.wikipedia.org/wiki/Hope_Aerodrome,YHE
1759,CYHF,medium_airport,Hearst René Fontaine Municipal Airport,49.71419906616211,-83.68609619140625,827,NA,CA,CA-ON,Hearst,no,CYHF,YHF,CYHF,,,https://en.wikipedia.org/wiki/Hearst_(Ren%C3%A9_Fontaine)_Municipal_Airport,
1760,CYHH,small_airport,Nemiscau Airport,51.691101,-76.135597,802,NA,CA,CA-QC,Nemiscau,yes,CYHH,YNS,CYHH,,,https://en.wikipedia.org/wiki/Nemiscau_Airport,YHH
1761,CYHI,small_airport,Ulukhaktok Holman Airport,70.762802,-117.806,117,NA,CA,CA-NT,Ulukhaktok,yes,CYHI,YHI,CYHI,,,https://en.wikipedia.org/wiki/Ulukhaktok/Holman_Airport,
1762,CYHK,small_airport,Gjoa Haven Airport,68.635597,-95.849701,152,NA,CA,CA-NU,Gjoa Haven,yes,CYHK,YHK,CYHK,,,https://en.wikipedia.org/wiki/Gjoa_Haven_Airport,
1763,CYHM,medium_airport,John C. Munro Hamilton International Airport,43.17348,-79.931185,780,NA,CA,CA-ON,Hamilton,yes,CYHM,YHM,CYHM,,http://www.flyhi.ca/,https://en.wikipedia.org/wiki/Hamilton/John_C._Munro_International_Airport,Mount Hope Airport
1764,CYHN,medium_airport,Hornepayne Municipal Airport,49.19309997558594,-84.75890350341797,1099,NA,CA,CA-ON,Hornepayne,no,CYHN,YHN,CYHN,,,https://en.wikipedia.org/wiki/Hornepayne_Municipal_Airport,
1765,CYHO,small_airport,Hopedale Airport,55.448757,-60.228124,39,NA,CA,CA-NL,Hopedale,yes,CYHO,YHO,CYHO,,,https://en.wikipedia.org/wiki/Hopedale_Airport,CC5
1465,CYHP,small_airport,Poplar Hill Airport,52.1133,-94.2556,1095,NA,CA,CA-ON,Poplar Hill,yes,CYHP,YHP,CYHP,CPV7,,https://en.wikipedia.org/wiki/Poplar_Hill_Airport,
1766,CYHR,small_airport,Chevery Airport,50.468322,-59.637823,39,NA,CA,CA-QC,Chevery,yes,CYHR,YHR,CYHR,,,https://en.wikipedia.org/wiki/Chevery_Airport,
1436,CYHS,small_airport,Hanover / Saugeen Municipal Airport,44.158298,-81.062798,939,NA,CA,CA-ON,Hanover,no,,,CYHS,CYHS,http://www.saugeenmunicipalairport.com/,https://en.wikipedia.org/wiki/Hanover/Saugeen_Municipal_Airport,"CPN4, YHS, PN4"
1767,CYHT,medium_airport,Haines Junction Airport,60.7892,-137.546005,2150,NA,CA,CA-YT,Haines Junction,no,CYHT,YHT,CYHT,,,https://en.wikipedia.org/wiki/Haines_Junction_Airport,
1768,CYHU,medium_airport,Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901,90,NA,CA,CA-QC,Montréal,yes,CYHU,YHU,CYHU,,http://www.dashl.ca/,https://en.wikipedia.org/wiki/Montr%C3%A9al/St-Hubert_Airport,
1769,CYHY,medium_airport,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,541,NA,CA,CA-NT,Hay River,yes,CYHY,YHY,CYHY,,,https://en.wikipedia.org/wiki/Hay_River_Airport,
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,477,NA,CA,CA-NS,Halifax,yes,CYHZ,YHZ,CYHZ,,http://www.hiaa.ca/,https://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport
1771,CYIB,medium_airport,Atikokan Municipal Airport,48.773899,-91.638603,1408,NA,CA,CA-ON,Atikokan,no,CYIB,YIB,CYIB,,http://www.atikokaninfo.com/community/transportation/airport/,https://en.wikipedia.org/wiki/Atikokan_Municipal_Airport,
1772,CYID,medium_airport,Digby / Annapolis Regional Airport,44.5458450365,-65.7854247093,499,NA,CA,CA-NS,Digby,no,CYID,YDG,CYID,,,https://en.wikipedia.org/wiki/Digby_Airport,YID
1773,CYIF,medium_airport,St Augustin Airport,51.2117,-58.658298,20,NA,CA,CA-QC,St-Augustin,yes,CYIF,YIF,CYIF,,,https://en.wikipedia.org/wiki/St-Augustin_Airport,Pakuashipi Airport
1774,CYIK,small_airport,Ivujivik Airport,62.417301,-77.925301,126,NA,CA,CA-QC,Ivujivik,yes,CYIK,YIK,CYIK,,,https://en.wikipedia.org/wiki/Ivujivik_Airport,
1775,CYIO,small_airport,Pond Inlet Airport,72.689494,-77.968941,181,NA,CA,CA-NU,Pond Inlet,yes,CYIO,YIO,CYIO,,,https://en.wikipedia.org/wiki/Pond_Inlet_Airport,
1776,CYIV,medium_airport,Island Lake Airport,53.857200622558594,-94.65360260009766,770,NA,CA,CA-MB,Island Lake,yes,CYIV,YIV,CYIV,,,https://en.wikipedia.org/wiki/Island_Lake_Airport,
1777,CYJA,small_airport,Jasper Airport,52.996418,-118.060233,3350,NA,CA,CA-AB,Jasper,no,CYJA,YJA,CYJA,,,https://en.wikipedia.org/wiki/Jasper_Airport,
1778,CYJF,medium_airport,Fort Liard Airport,60.235801696799996,-123.46900177,708,NA,CA,CA-NT,Fort Liard,no,CYJF,YJF,CYJF,,,https://en.wikipedia.org/wiki/Fort_Liard_Airport,YJF
1779,CYJM,small_airport,Fort St James Airport,54.39720153808594,-124.26300048828125,2364,NA,CA,CA-BC,Fort St. James,no,,,CYJM,,,https://en.wikipedia.org/wiki/Fort_St._James_(Perison)_Airport,YJM
1780,CYJN,medium_airport,St Jean Airport,45.29439926147461,-73.28109741210938,136,NA,CA,CA-QC,St Jean,no,CYJN,YJN,CYJN,,,https://en.wikipedia.org/wiki/St-Jean_Airport,
1781,CYJP,small_airport,Fort Providence Airport,61.319400787353516,-117.60600280761719,524,NA,CA,CA-NT,Fort Providence,no,,,CYJP,,,https://en.wikipedia.org/wiki/Fort_Providence_Airport,YJP
1782,CYJQ,small_airport,Denny Island Airport,52.136474,-128.056182,162,NA,CA,CA-BC,Denny Island,no,,,CYJQ,,,https://en.wikipedia.org/wiki/Bella_Bella_(Denny_Island)_Airport,YJQ
